uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_24ur_17,24ur_25,2022-11-21 14:04,Ti se javljaš iz Doba?,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_24
user_24ur_21,24ur_26,2022-11-21 13:20,Jurčka ni bilo tam. Je že kasiral z vrečo po ljubljanskih parkiriščih.,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_22,24ur_27,2022-11-21 12:59,joj,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_23,24ur_28,2022-11-21 12:29,"Janševci,... v Ljubljani, mestu heroju, ste vredni 6,14% za župana in 11,85% v mestnem svetu. Zdaj se boste pa hvalili z občinskimi svetniki v Kungoti, Dupleku in Vukojebini. Sramota, za 30 let delovanja neke stranke.",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_24,24ur_29,2022-11-21 12:36,"burek ,čvapi .. samo trubačev ni bilo ,a pridejo za novoletne praznike ????",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_28
user_24ur_23,24ur_30,2022-11-21 12:47,"harmonika in goveja župa nista manjkali, tako da ne vem, kaj se pritožuješ",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_28
user_24ur_25,24ur_31,2022-11-21 13:10,"točno tako frenk, še v nedeljo na referendum, gremo! Admin bi lahko prepovedal žaljenje na nacionalni osnovi, jaz sem tudi po eni strani malo hrvata, malo srba, pa kaj imam jaz zdej s HR in SRB?",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_28
user_24ur_20,24ur_32,2022-11-21 13:41,Čef urska posla yugo mafije,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_28
user_24ur_26,24ur_33,2022-11-21 12:27,A prah bo prodajou pa Anis Ličina? 😁😁😁,https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,
user_24ur_16,24ur_34,2022-11-21 15:10,"morda, ampak vam ga zagotovo breznik in to slabo robo, da pisete taksne neumnosti",https://www.24ur.com/novice/volitve/lokalne-volitve-2022/veseli-december-pri-Jankovicevih.html,24ur_33
