uporabnik,ID_komentarja,datum_ura,komentar,vir,odgovor_na
user_rtv_11,rtv_18,2022-12-5 15:33,"To in pa neskončni in nesmiselni referendumi je vse, kar je janšizmu še ostalo. Še s tem zgolj podaljšujejo agonijo propada, ki je očiten.Nazadnje so se v Sloveniji upirali nacizmu in fašizmu. Zdaj janšizmu. V prihodnosti pa liberalnemu globalizmu. Zlo ne počiva.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_12,rtv_19,2022-12-05 19:47,"Kdaj bo ukonjen DS? Zberemo 40000 podpisov za takojšnji referendum? Ker tole je metanje denarja skozi okno za mlatenje prazne slame in to za ljudi (od njih), ki so “delegirani”, ne izvoljeni.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_17
user_rtv_13,rtv_20,2022-12-5 17:58,V bistvu subvencionira predvsem milijonske nagrade.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_21
user_rtv_2,rtv_21,2022-12-05 16:48,"veliko ljudi ne bo ravno lepo živelo, ker že sedaj komaj shajajo...mogoče je pa zgolj vaše razmišljanje utopično...",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_14,rtv_22,2022-12-5 17:29,In samo teh 10 eur je rešitev za boljše življenje. Seveda potem ko bo zmanjkalo za pomoč pa koga briga za te ki že komaj shajajo,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_21
user_rtv_0,rtv_23,2022-12-5 17:29,"Ne vem zakaj skrb za tiste, ki nimajo in bodo imeli še manj saj baje da so to tisti lenuhi na socjali, ki so ob petkih kolesarili in so vsi volilci Svobode in prihajajo iz bivše Juge 🥂",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_2
user_rtv_14,rtv_24,2022-12-5 17:29,"Eni bi raje bankrot države, kot bilo koga drugega kot Janšo. Adijo pamet",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_0
user_rtv_2,rtv_25,2022-12-5 16:44,ti bi očino rad nižjo plačo in višje davke...zanimivo.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_26
user_rtv_5,rtv_27,2022-12-5 16:34,"Vi bluzite z ministrstvi. Razloženo že večkrat. Včasih se je v mlinu trikrat povedalo, zdaj se je pa na referendumih.",https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,
user_rtv_15,rtv_28,2022-12-05 16:33,Zaradi državnega sveta se ta država nikoli ne bo premaknila nikamor. Zato bomo ostali na status quo in stagnirali.,https://www.rtvslo.si/slovenija/drzavni-svet-izglasoval-odlozilni-veto-na-novelo-zakona-o-dohodnini/649932,rtv_29
